star_name,NamePlanet,MassPlanet_EU,mass_error_min_EU,mass_error_max_EU,RadiusPlanet_EU,radius_error_min_EU,radius_error_max_EU,orbital_period_EU,orbital_period_error_min_EU,orbital_period_error_max_EU,semi_major_axis_EU,semi_major_axis_error_min_EU,semi_major_axis_error_max_EU,eccentricity_EU,eccentricity_error_min_EU,eccentricity_error_max_EU,inclination_EU,inclination_error_min_EU,inclination_error_max_EU
HD  97658,HD 97658 b,0.02375,0.00249,0.00261,0.20047,0.00848,0.00874,9.4903,0.0015,0.0016,0.08,0.018,0.0017,0.078,0.053,0.057,89.14,0.36,0.52
GJ 1132,GJ 1132 b,0.00522,0.00072,0.00072,0.1035,0.0098,0.0098,1.628931,2.7e-05,2.7e-05,0.0154,0.0015,0.0015,,,,,,
GJ 1132,GJ 1132 c,0.00831,0.00138,0.00138,,,,8.929,0.01,0.01,0.0476,0.0017,0.0017,0.27,0.27,,,,
55 Cnc,55 Cnc e,0.02703,0.00135,0.00135,0.1737,0.00339,0.00339,0.7365478,1.2e-06,1.6e-06,0.015439,1.5e-05,1.5e-05,0.028,0.019,0.022,90.36,4.66,3.96
GJ  3470,GJ 3470 b,0.03958,0.00403,0.00412,0.3738074294,0.0526363683,0.0526363683,3.336649,8.1e-05,8.4e-05,0.03557,0.001,0.001,0.114,0.052,0.052,88.3,0.5,0.5
Kepler-138,Kepler-138 b,0.00021,0.00012,0.00019,0.052,0.006,0.006,10.31320643,2.65e-05,2.65e-05,0.0746,,,,,,89.95,,
Kepler-138,Kepler-138 c,0.00318,0.0011,0.0013,0.144,0.013,0.014,13.78164,0.00014,0.00019,,,,0.05,0.025,0.049,,,
Kepler-138,Kepler-138 d,0.00318,0.00107,0.00132,0.1436,0.0134,0.0143,23.08933,0.00071,0.00071,,,,0.024,0.016,0.03,,,
Kepler-18,Kepler-18 b,0.0216153289,0.0109492496,0.0109492496,0.1784283673,0.0080292765,0.0080292765,3.504725,2.8e-05,2.8e-05,0.0447,0.0006,0.0006,,,,84.92,0.26,0.26
Kepler-18,Kepler-18 c,0.0541169808,0.0059780386,0.0059780386,0.4888937263,0.0223035459,0.0223035459,7.64159,3e-05,3e-05,0.0752,0.0011,0.0011,,,,87.68,0.22,0.22
Kepler-18,Kepler-18 d,0.0512852783,0.0043734072,0.0043734072,0.6218228599,0.0285485388,0.0285485388,14.85888,4e-05,4e-05,0.1172,0.0017,0.0017,,,,88.07,0.1,0.1
HD 219134,HD 219134 b,0.01491,0.0006,0.0006,0.14292,0.00491,0.00491,3.0931,0.0001,0.0001,0.038474,8e-07,8e-07,,,0.13,85.058,0.08,0.08
HD 219134,HD 219134 g,0.034,0.004,0.004,,,,94.2,0.2,0.2,0.3753,0.0004,0.0004,,,,,,
2MASS J23062928-0502285,TRAPPIST-1 b,0.0027,0.0023,0.0023,0.09689,0.00031,0.00031,1.51087081,6e-05,6e-05,0.01111,0.00034,0.00034,,,0.081,89.65,0.27,0.27
2MASS J23062928-0502285,TRAPPIST-1 c,0.00434,0.0019,0.0019,0.09421,0.00031,0.00031,2.4218233,1.7e-06,1.7e-06,0.01521,0.00047,0.00047,,,0.083,89.67,0.17,0.17
2MASS J23062928-0502285,TRAPPIST-1 d,0.0013,0.00085,0.00085,0.0689,0.0027,0.0027,4.04961,6.3e-05,6.3e-05,0.02144,0.00063,0.00066,,,0.7,89.75,0.16,0.16
2MASS J23062928-0502285,TRAPPIST-1 e,0.002,0.0018,0.0018,0.0819,0.0035,0.0035,6.099615,1.1e-05,1.1e-05,0.02817,0.00087,0.00083,,0.085,0.085,89.86,0.12,0.1
2MASS J23062928-0502285,TRAPPIST-1 f,0.0021,0.00057,0.00057,0.09323,0.0034,0.0034,9.20669,1.5e-05,1.5e-05,0.0371,0.0011,0.0011,,,0.063,89.68,0.034,0.034
2MASS J23062928-0502285,TRAPPIST-1 g,0.00422,0.0028,0.0028,0.1005,0.0037,0.0037,12.35294,0.00012,0.00012,0.0451,0.0014,0.0014,,,0.061,89.71,0.025,0.025
