star,parameter,unit,value,error_min,error_max,ref
55 Cnc,stellar_mass,Msun,0.85,0.02,-0.02,[Von Braun et al. 2011](https://ui.adsabs.harvard.edu/abs/2011ApJ...740...49V/abstract)
,bolometric_luminosity,Lsun,0.582,0.014,-0.014,[Von Braun et al. 2011](https://ui.adsabs.harvard.edu/abs/2011ApJ...740...49V/abstract)
,xray_luminosity,erg/cm^2/s,5.23E+25,6.43E+25,-6.43E+25,[Morales Calderon et al. 2024](https://ui.adsabs.harvard.edu/abs/2024arXiv240506577M/abstract)
,rotation_period,days,38.8,0.05,-0.05,[Bourrier et al. 2018](https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract)
,age_range,Gyr,10.2,2.5,-2.5,[Von Braun et al. 2011](https://ui.adsabs.harvard.edu/abs/2011ApJ...740...49V/abstract)
,,,,,,
GJ 1132,stellar_mass,Msun,0.181,0.019,-0.019,[Berta Thompson et al. 2015](http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html)
,bolometric_luminosity,Lsun,0.00438,0.00034,-0.00034,[Berta Thompson et al. 2015](http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html)
,xray_luminosity,erg/cm^2/s,9.96E+25,2.95E+25,-2.95E+25,[Morales Calderon et al. 2024](https://ui.adsabs.harvard.edu/abs/2024arXiv240506577M/abstract)
,rotation_period,days,122.31,6.03,-5.04,[Cloutier et al. 2017](https://ui.adsabs.harvard.edu/abs/2017AJ....153....9C/abst)
,age_range,Gyr,,5,,[Berta Thompson et al. 2015](http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html)
,,,,,,
GJ 3470,stellar_mass,Msun,0.51,0.06,-0.06,[Kosiarek et al. 2019](https://ui.adsabs.harvard.edu/abs/2019AJ....157...97K/abstract)
,bolometric_luminosity,Lsun,0.029,0.002,-0.002,[Bonfils et al. 2012](https://ui.adsabs.harvard.edu/abs/2012A%26A...546A..27B/abstract)
,xray_luminosity,erg/cm^2/s,4.43E+27,7.88E+26,-7.88E+26,[Morales Calderon et al. 2024](https://ui.adsabs.harvard.edu/abs/2024arXiv240506577M/abstract)
,rotation_period,days,21.54,0.49,-0.49,[Kosiarek et al. 2019](https://ui.adsabs.harvard.edu/abs/2019AJ....157...97K/abstract)
